iter	Passed	Remaining
0	16	16554
1	31	15741
2	42	14237
3	52	13050
4	68	13541
5	84	13959
6	97	13900
7	114	14244
8	126	13970
9	142	14134
10	160	14411
11	175	14463
12	191	14537
13	205	14507
14	254	16732
15	279	17207
16	331	19195
17	386	21066
18	445	22977
19	484	23759
20	496	23146
21	508	22583
22	518	22023
23	530	21562
24	540	21098
25	552	20708
26	562	20288
27	573	19893
28	584	19560
29	594	19219
30	605	18933
31	615	18621
32	627	18376
33	637	18098
34	646	17830
35	657	17609
36	667	17370
37	678	17178
38	688	16958
39	700	16804
40	709	16599
41	719	16406
42	730	16252
43	740	16078
44	750	15933
45	760	15778
46	771	15649
47	781	15496
48	791	15354
49	803	15261
50	813	15129
51	823	15021
52	833	14889
53	842	14766
54	853	14667
55	862	14546
56	874	14459
57	883	14344
58	894	14271
59	904	14166
60	914	14069
61	925	14002
62	935	13916
63	947	13851
64	956	13766
65	968	13704
66	978	13621
67	989	13564
68	1001	13510
69	1011	13436
70	1022	13374
71	1032	13301
72	1043	13249
73	1052	13172
74	1062	13101
75	1073	13050
76	1083	12985
77	1094	12935
78	1104	12876
79	1115	12824
80	1124	12761
81	1134	12698
82	1145	12658
83	1155	12602
84	1167	12562
85	1176	12505
86	1186	12448
87	1198	12425
88	1208	12372
89	1219	12332
90	1229	12277
91	1240	12243
92	1250	12193
93	1259	12138
94	1270	12100
95	1279	12049
96	1290	12017
97	1300	11965
98	1311	11933
99	1321	11889
100	1330	11841
101	1342	11820
102	1353	11788
103	1365	11760
104	1374	11715
105	1385	11689
106	1395	11647
107	1404	11603
108	1416	11576
109	1425	11534
110	1437	11516
111	1447	11475
112	1459	11452
113	1468	11415
114	1478	11379
115	1491	11365
116	1500	11326
117	1512	11307
118	1522	11270
119	1534	11255
120	1544	11217
121	1553	11181
122	1564	11156
123	1574	11122
124	1586	11108
125	1596	11075
126	1607	11050
127	1617	11016
128	1626	10981
129	1637	10960
130	1647	10927
131	1658	10908
132	1668	10876
133	1679	10857
134	1689	10827
135	1699	10796
136	1711	10780
137	1722	10758
138	1733	10739
139	1743	10710
140	1755	10692
141	1764	10663
142	1774	10633
143	1785	10613
144	1794	10582
145	1805	10561
146	1815	10534
147	1827	10517
148	1835	10485
149	1845	10459
150	1856	10439
151	1866	10412
152	1878	10397
153	1887	10369
154	1897	10342
155	1907	10322
156	1917	10295
157	1929	10281
158	1938	10254
159	1950	10239
160	1959	10212
161	1969	10185
162	1981	10176
163	1991	10153
164	2002	10134
165	2012	10111
166	2024	10097
167	2033	10072
168	2044	10051
169	2055	10035
170	2065	10013
171	2077	9999
172	2086	9974
173	2098	9960
174	2107	9933
175	2117	9912
176	2128	9897
177	2138	9874
178	2149	9858
179	2159	9835
180	2170	9822
181	2180	9799
182	2189	9776
183	2201	9762
184	2210	9739
185	2222	9726
186	2231	9703
187	2243	9689
188	2252	9665
189	2261	9642
190	2273	9629
191	2282	9607
192	2294	9595
193	2304	9575
194	2314	9555
195	2326	9543
196	2337	9526
197	2349	9517
198	2359	9496
199	2372	9489
200	2381	9467
201	2393	9454
202	2402	9433
203	2412	9412
204	2423	9398
205	2433	9378
206	2444	9363
207	2453	9341
208	2464	9329
209	2474	9309
210	2484	9289
211	2495	9277
212	2506	9262
213	2520	9259
214	2532	9247
215	2547	9245
216	2559	9234
217	2573	9230
218	2587	9227
219	2599	9216
220	2610	9200
221	2620	9182
222	2630	9164
223	2641	9152
224	2651	9133
225	2663	9123
226	2673	9104
227	2685	9093
228	2695	9075
229	2705	9056
230	2716	9043
231	2726	9024
232	2737	9012
233	2747	8994
234	2760	8987
